id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,147512,RUPIAH/KAPITA/BULAN,2007
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2007
100,32,JAWA BARAT,3271,KOTA BOGOR,200888,RUPIAH/KAPITA/BULAN,2007
101,32,JAWA BARAT,3272,KOTA SUKABUMI,208913,RUPIAH/KAPITA/BULAN,2007
102,32,JAWA BARAT,3273,KOTA BANDUNG,181142,RUPIAH/KAPITA/BULAN,2007
103,32,JAWA BARAT,3274,KOTA CIREBON,166309,RUPIAH/KAPITA/BULAN,2007
104,32,JAWA BARAT,3275,KOTA BEKASI,233535,RUPIAH/KAPITA/BULAN,2007
105,32,JAWA BARAT,3276,KOTA DEPOK,238774,RUPIAH/KAPITA/BULAN,2007
106,32,JAWA BARAT,3277,KOTA CIMAHI,216894,RUPIAH/KAPITA/BULAN,2007
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,162362,RUPIAH/KAPITA/BULAN,2007
108,32,JAWA BARAT,3279,KOTA BANJAR,120736,RUPIAH/KAPITA/BULAN,2007
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,173281,RUPIAH/KAPITA/BULAN,2008
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,157804,RUPIAH/KAPITA/BULAN,2008
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,162645,RUPIAH/KAPITA/BULAN,2008
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,189998,RUPIAH/KAPITA/BULAN,2008
113,32,JAWA BARAT,3205,KABUPATEN GARUT,154245,RUPIAH/KAPITA/BULAN,2008
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,137271,RUPIAH/KAPITA/BULAN,2008
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,163495,RUPIAH/KAPITA/BULAN,2008
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,160274,RUPIAH/KAPITA/BULAN,2008
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,199046,RUPIAH/KAPITA/BULAN,2008
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,210526,RUPIAH/KAPITA/BULAN,2008
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,186166,RUPIAH/KAPITA/BULAN,2008
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,212616,RUPIAH/KAPITA/BULAN,2008
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,184075,RUPIAH/KAPITA/BULAN,2008
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,173986,RUPIAH/KAPITA/BULAN,2008
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,187037,RUPIAH/KAPITA/BULAN,2008
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,191737,RUPIAH/KAPITA/BULAN,2008
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,167326,RUPIAH/KAPITA/BULAN,2008
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2008
127,32,JAWA BARAT,3271,KOTA BOGOR,223218,RUPIAH/KAPITA/BULAN,2008
128,32,JAWA BARAT,3272,KOTA SUKABUMI,253697,RUPIAH/KAPITA/BULAN,2008
129,32,JAWA BARAT,3273,KOTA BANDUNG,209171,RUPIAH/KAPITA/BULAN,2008
