id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_keparahan_kemiskinan,satuan,tahun
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.67,POIN,2010
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.47,POIN,2010
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.52,POIN,2010
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.52,POIN,2010
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.55,POIN,2010
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.78,POIN,2010
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.18,POIN,2010
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.58,POIN,2010
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2010
181,32,JAWA BARAT,3271,KOTA BOGOR,0.48,POIN,2010
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0.52,POIN,2010
183,32,JAWA BARAT,3273,KOTA BANDUNG,0.29,POIN,2010
184,32,JAWA BARAT,3274,KOTA CIREBON,0.51,POIN,2010
185,32,JAWA BARAT,3275,KOTA BEKASI,0.39,POIN,2010
186,32,JAWA BARAT,3276,KOTA DEPOK,0.14,POIN,2010
187,32,JAWA BARAT,3277,KOTA CIMAHI,0.42,POIN,2010
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.17,POIN,2010
189,32,JAWA BARAT,3279,KOTA BANJAR,0.25,POIN,2010
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.41,POIN,2011
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.43,POIN,2011
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.64,POIN,2011
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.5,POIN,2011
194,32,JAWA BARAT,3205,KABUPATEN GARUT,0.47,POIN,2011
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.26,POIN,2011
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.27,POIN,2011
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.39,POIN,2011
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.51,POIN,2011
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.46,POIN,2011
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.5,POIN,2011
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.6,POIN,2011
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.33,POIN,2011
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.44,POIN,2011
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.41,POIN,2011
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.25,POIN,2011
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.48,POIN,2011
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2011
208,32,JAWA BARAT,3271,KOTA BOGOR,0.26,POIN,2011
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0.26,POIN,2011
210,32,JAWA BARAT,3273,KOTA BANDUNG,0.2,POIN,2011
211,32,JAWA BARAT,3274,KOTA CIREBON,0.64,POIN,2011
212,32,JAWA BARAT,3275,KOTA BEKASI,0.07,POIN,2011
213,32,JAWA BARAT,3276,KOTA DEPOK,0.14,POIN,2011
214,32,JAWA BARAT,3277,KOTA CIMAHI,0.19,POIN,2011
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.94,POIN,2011
216,32,JAWA BARAT,3279,KOTA BANJAR,0.14,POIN,2011
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.29,POIN,2012
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.29,POIN,2012
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.48,POIN,2012
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.37,POIN,2012
221,32,JAWA BARAT,3205,KABUPATEN GARUT,0.4,POIN,2012
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.62,POIN,2012
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.46,POIN,2012
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.48,POIN,2012
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.51,POIN,2012
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.69,POIN,2012
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.44,POIN,2012
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.44,POIN,2012
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.3,POIN,2012
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.39,POIN,2012
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.39,POIN,2012
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.24,POIN,2012
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.38,POIN,2012
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2012
235,32,JAWA BARAT,3271,KOTA BOGOR,0.3,POIN,2012
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0.18,POIN,2012
237,32,JAWA BARAT,3273,KOTA BANDUNG,0.12,POIN,2012
238,32,JAWA BARAT,3274,KOTA CIREBON,0.38,POIN,2012
239,32,JAWA BARAT,3275,KOTA BEKASI,0.24,POIN,2012
240,32,JAWA BARAT,3276,KOTA DEPOK,0.04,POIN,2012
241,32,JAWA BARAT,3277,KOTA CIMAHI,0.32,POIN,2012
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.18,POIN,2012
243,32,JAWA BARAT,3279,KOTA BANJAR,0.13,POIN,2012
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.33,POIN,2013
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.38,POIN,2013
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.39,POIN,2013
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.25,POIN,2013
248,32,JAWA BARAT,3205,KABUPATEN GARUT,0.41,POIN,2013
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.28,POIN,2013
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.29,POIN,2013
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.47,POIN,2013
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.46,POIN,2013
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.55,POIN,2013
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.32,POIN,2013
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.47,POIN,2013
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.41,POIN,2013
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.32,POIN,2013
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.36,POIN,2013
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.18,POIN,2013
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.64,POIN,2013
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2013
262,32,JAWA BARAT,3271,KOTA BOGOR,0.21,POIN,2013
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0.25,POIN,2013
264,32,JAWA BARAT,3273,KOTA BANDUNG,0.08,POIN,2013
265,32,JAWA BARAT,3274,KOTA CIREBON,0.2,POIN,2013
266,32,JAWA BARAT,3275,KOTA BEKASI,0.16,POIN,2013
267,32,JAWA BARAT,3276,KOTA DEPOK,0.06,POIN,2013
268,32,JAWA BARAT,3277,KOTA CIMAHI,0.29,POIN,2013
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.63,POIN,2013
270,32,JAWA BARAT,3279,KOTA BANJAR,0.31,POIN,2013
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.29,POIN,2014
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.34,POIN,2014
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.35,POIN,2014
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.12,POIN,2014
275,32,JAWA BARAT,3205,KABUPATEN GARUT,0.38,POIN,2014
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.21,POIN,2014
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.31,POIN,2014
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.53,POIN,2014
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.56,POIN,2014
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.48,POIN,2014
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.26,POIN,2014
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.44,POIN,2014
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.24,POIN,2014
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.33,POIN,2014
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.37,POIN,2014
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.12,POIN,2014
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.39,POIN,2014
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2014
289,32,JAWA BARAT,3271,KOTA BOGOR,0.23,POIN,2014
290,32,JAWA BARAT,3272,KOTA SUKABUMI,0.11,POIN,2014
291,32,JAWA BARAT,3273,KOTA BANDUNG,0.17,POIN,2014
292,32,JAWA BARAT,3274,KOTA CIREBON,0.18,POIN,2014
293,32,JAWA BARAT,3275,KOTA BEKASI,0.19,POIN,2014
294,32,JAWA BARAT,3276,KOTA DEPOK,0.09,POIN,2014
295,32,JAWA BARAT,3277,KOTA CIMAHI,0.21,POIN,2014
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.86,POIN,2014
297,32,JAWA BARAT,3279,KOTA BANJAR,0.19,POIN,2014
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.46,POIN,2015
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.25,POIN,2015
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.45,POIN,2015
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.43,POIN,2015
302,32,JAWA BARAT,3205,KABUPATEN GARUT,0.54,POIN,2015
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.45,POIN,2015
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.3,POIN,2015
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.62,POIN,2015
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.57,POIN,2015
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.6,POIN,2015
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.45,POIN,2015
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.62,POIN,2015
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.81,POIN,2015
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.37,POIN,2015
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.34,POIN,2015
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.16,POIN,2015
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.59,POIN,2015
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.43,POIN,2015
316,32,JAWA BARAT,3271,KOTA BOGOR,0.33,POIN,2015
317,32,JAWA BARAT,3272,KOTA SUKABUMI,0.41,POIN,2015
318,32,JAWA BARAT,3273,KOTA BANDUNG,0.19,POIN,2015
319,32,JAWA BARAT,3274,KOTA CIREBON,0.26,POIN,2015
320,32,JAWA BARAT,3275,KOTA BEKASI,0.15,POIN,2015
321,32,JAWA BARAT,3276,KOTA DEPOK,0.06,POIN,2015
322,32,JAWA BARAT,3277,KOTA CIMAHI,0.21,POIN,2015
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.69,POIN,2015
324,32,JAWA BARAT,3279,KOTA BANJAR,0.11,POIN,2015
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,0.28,POIN,2016
326,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.3,POIN,2016
327,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.49,POIN,2016
328,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.18,POIN,2016
329,32,JAWA BARAT,3205,KABUPATEN GARUT,0.39,POIN,2016
330,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.42,POIN,2016
331,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.27,POIN,2016
332,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.59,POIN,2016
333,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.5,POIN,2016
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.52,POIN,2016
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.35,POIN,2016
336,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.37,POIN,2016
337,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.47,POIN,2016
338,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.32,POIN,2016
339,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.53,POIN,2016
340,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.23,POIN,2016
341,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.51,POIN,2016
