kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,indeks_keparahan_kemiskinan,indeks_pembangunan_manusia,tingkat_pengangguran_terbuka,garis_kemiskinan,skor_kerentanan_sosial,cluster_id,cluster_vulnerability_tier,profil_ekonomi,tipe_administratif,pc1,pc2,tren_slope_poin_per_tahun,tren_kemiskinan,level_kerentanan,prioritas_aksi
32,JAWA BARAT,3274,KOTA CIREBON,2024,9.02,0.25,77.08,6.29,545592.0,-0.1765,1,kerentanan_menengah,campuran,kota,-0.2467,-0.0878,0.0503,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3279,KOTA BANJAR,2024,5.85,0.29,73.64,5.44,430590.0,-0.3405,1,kerentanan_menengah,campuran,kota,-0.2228,-0.6477,0.0434,stabil,rendah,rutin
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2024,8.75,0.29,69.85,1.58,470068.0,-0.4315,1,kerentanan_menengah,campuran,kabupaten,1.6254,-2.5169,0.1383,memburuk,rendah,pantau
32,JAWA BARAT,3207,KABUPATEN CIAMIS,2024,7.39,0.2,72.56,3.37,467497.0,-0.6239,1,kerentanan_menengah,campuran,kabupaten,0.2936,-1.9835,0.0814,memburuk,rendah,pantau
32,JAWA BARAT,3272,KOTA SUKABUMI,2024,7.2,0.18,76.85,8.34,678258.0,-0.174,2,kerentanan_rendah,urban_industri,kota,-1.2927,0.549,0.052,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3271,KOTA BOGOR,2024,6.53,0.24,78.52,8.13,699861.0,-0.2398,2,kerentanan_rendah,urban_industri,kota,-1.3723,0.6846,0.1037,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3216,KABUPATEN BEKASI,2024,4.8,0.17,76.44,8.82,674924.0,-0.331,2,kerentanan_rendah,urban_industri,kabupaten,-1.9144,0.5909,0.1166,memburuk,rendah,pantau
32,JAWA BARAT,3277,KOTA CIMAHI,2024,4.39,0.21,80.08,8.97,612567.0,-0.4656,2,kerentanan_rendah,urban_industri,kota,-2.3234,0.8975,-0.0454,stabil,rendah,rutin
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2024,6.19,0.09,74.27,6.36,455636.0,-0.6076,2,kerentanan_rendah,urban_industri,kabupaten,-1.1853,-0.9407,-0.018,stabil,rendah,rutin
32,JAWA BARAT,3275,KOTA BEKASI,2024,4.01,0.21,83.54,7.82,842927.0,-0.8622,2,kerentanan_rendah,urban_industri,kota,-2.6155,0.3858,-0.0043,stabil,rendah,rutin
32,JAWA BARAT,3273,KOTA BANDUNG,2024,3.87,0.14,83.52,7.4,614707.0,-1.0782,2,kerentanan_rendah,urban_industri,kota,-2.8411,-0.114,0.064,memburuk,rendah,pantau
32,JAWA BARAT,3276,KOTA DEPOK,2024,2.34,0.07,82.91,6.27,843893.0,-1.5019,2,kerentanan_rendah,urban_industri,kota,-3.1741,-1.0747,0.0311,stabil,rendah,rutin
